elements,blocks,threadsPerBlock,GPU
10000000, 64, 256, 0.001503
10000000, 64, 400, 0.002012
10000000, 64, 512, 0.002434
10000000, 64, 750, 0.003274
10000000, 64, 1024, 0.004128
10000000, 128, 32, 0.001035
10000000, 128, 50, 0.001065
10000000, 128, 64, 0.001090
10000000, 128, 100, 0.001256
10000000, 128, 128, 0.001505
10000000, 128, 200, 0.001956
10000000, 128, 256, 0.002455
10000000, 128, 400, 0.003308
10000000, 128, 512, 0.004179
10000000, 128, 750, 0.004698
10000000, 128, 1024, 0.006071
10000000, 256, 32, 0.001151
10000000, 256, 50, 0.001274
10000000, 256, 64, 0.001457
10000000, 256, 100, 0.001923
10000000, 256, 128, 0.002327
10000000, 256, 200, 0.003418
10000000, 256, 256, 0.004028
10000000, 256, 400, 0.005272
10000000, 256, 512, 0.006384
10000000, 256, 750, 0.008341
10000000, 256, 1024, 0.011170
10000000, 512, 32, 0.001548
10000000, 512, 50, 0.001916
10000000, 512, 64, 0.002411
10000000, 512, 100, 0.003358
10000000, 512, 128, 0.004317
10000000, 512, 200, 0.005568
10000000, 512, 256, 0.006531
10000000, 512, 400, 0.009092
10000000, 512, 512, 0.011451
10000000, 512, 750, 0.015394
10000000, 512, 1024, 0.020631
10000000, 1024, 32, 0.002476
10000000, 1024, 50, 0.003258
10000000, 1024, 64, 0.004412
10000000, 1024, 100, 0.005660
10000000, 1024, 128, 0.006653
10000000, 1024, 200, 0.009683
10000000, 1024, 256, 0.012282
10000000, 1024, 400, 0.017543
10000000, 1024, 512, 0.022173
10000000, 1024, 750, 0.031341
10000000, 1024, 1024, 0.042638
10000000, 2048, 32, 0.000521
10000000, 2048, 50, 0.000531
10000000, 2048, 64, 0.000519
10000000, 2048, 100, 0.000526
10000000, 2048, 128, 0.000523
10000000, 2048, 200, 0.000520
10000000, 2048, 256, 0.000520
10000000, 2048, 400, 0.000513
10000000, 2048, 512, 0.000521
10000000, 2048, 750, 0.000520
10000000, 2048, 1024, 0.000518
10000000, 4096, 32, 0.000523
10000000, 4096, 50, 0.000523
10000000, 4096, 64, 0.000520
10000000, 4096, 100, 0.000517
10000000, 4096, 128, 0.000525
10000000, 4096, 200, 0.000521
10000000, 4096, 256, 0.000545
10000000, 4096, 400, 0.000521
10000000, 4096, 512, 0.000539
10000000, 4096, 750, 0.000533
10000000, 4096, 1024, 0.000542
10000000, 8192, 32, 0.000529
10000000, 8192, 50, 0.000521
10000000, 8192, 64, 0.000521
10000000, 8192, 100, 0.000540
10000000, 8192, 128, 0.000529
10000000, 8192, 200, 0.000518
10000000, 8192, 256, 0.000515
10000000, 8192, 400, 0.000519
10000000, 8192, 512, 0.000532
10000000, 8192, 750, 0.000527
10000000, 8192, 1024, 0.000518
10000000, 16384, 32, 0.000535
10000000, 16384, 50, 0.000527
10000000, 16384, 64, 0.000533
10000000, 16384, 100, 0.000517
10000000, 16384, 128, 0.000516
10000000, 16384, 200, 0.000518
10000000, 16384, 256, 0.000524
10000000, 16384, 400, 0.000536
10000000, 16384, 512, 0.000516
10000000, 16384, 750, 0.000519
