elements,blocks,threadsPerBlock,GPU
10000000, 512, 400, 0.026811
10000000, 512, 512, 0.027007
10000000, 512, 750, 0.027187
10000000, 512, 1024, 0.027482
10000000, 1024, 32, 0.027269
10000000, 1024, 64, 0.027241
10000000, 1024, 100, 0.026762
10000000, 1024, 128, 0.027246
10000000, 1024, 200, 0.026555
10000000, 1024, 256, 0.026619
10000000, 1024, 400, 0.026457
10000000, 1024, 512, 0.026502
10000000, 1024, 750, 0.026914
10000000, 1024, 1024, 0.027207
10000000, 2048, 32, 0.026658
10000000, 2048, 64, 0.027033
10000000, 2048, 100, 0.027306
10000000, 2048, 128, 0.027056
10000000, 2048, 200, 0.027054
10000000, 2048, 256, 0.027012
10000000, 2048, 400, 0.027004
10000000, 2048, 512, 0.027110
10000000, 2048, 750, 0.027010
10000000, 2048, 1024, 0.027024
10000000, 4096, 32, 0.027174
10000000, 4096, 64, 0.027161
10000000, 4096, 100, 0.026971
10000000, 4096, 128, 0.027476
10000000, 4096, 200, 0.027274
10000000, 4096, 256, 0.027324
10000000, 4096, 400, 0.027307
10000000, 4096, 512, 0.027357
10000000, 4096, 750, 0.027125
10000000, 4096, 1024, 0.027009
10000000, 8192, 32, 0.027154
10000000, 8192, 64, 0.027282
10000000, 8192, 100, 0.027288
10000000, 8192, 128, 0.027133
10000000, 8192, 200, 0.027021
10000000, 8192, 256, 0.027005
10000000, 8192, 400, 0.026989
10000000, 8192, 512, 0.027118
10000000, 8192, 750, 0.027247
10000000, 8192, 1024, 0.027143
10000000, 16384, 32, 0.027262
10000000, 16384, 64, 0.027246
10000000, 16384, 100, 0.026942
10000000, 16384, 128, 0.026969
10000000, 16384, 200, 0.026993
10000000, 16384, 256, 0.026998
10000000, 16384, 400, 0.027101
10000000, 16384, 512, 0.027099
10000000, 16384, 750, 0.027115
10000000, 16384, 1024, 0.026949
10000000, 32768, 32, 0.027084
10000000, 32768, 64, 0.027137
10000000, 32768, 100, 0.027043
10000000, 32768, 128, 0.027078
10000000, 32768, 200, 0.027058
10000000, 32768, 256, 0.027120
10000000, 32768, 400, 0.027040
10000000, 32768, 512, 0.027382
10000000, 32768, 750, 0.027236
10000000, 32768, 1024, 0.027104
10000000, 32, 32, 0.030166
10000000, 32, 64, 0.028562
10000000, 32, 100, 0.027860
10000000, 32, 128, 0.027633
10000000, 32, 200, 0.027725
10000000, 32, 256, 0.027227
10000000, 32, 400, 0.027165
10000000, 32, 512, 0.027096
10000000, 32, 750, 0.027169
10000000, 32, 1024, 0.027374
10000000, 64, 32, 0.028405
10000000, 64, 64, 0.027600
10000000, 64, 100, 0.027368
10000000, 64, 128, 0.027370
10000000, 64, 200, 0.027570
10000000, 64, 256, 0.027084
10000000, 64, 400, 0.027052
10000000, 64, 512, 0.027016
10000000, 64, 750, 0.027153
10000000, 64, 1024, 0.028018
10000000, 128, 32, 0.028564
10000000, 128, 64, 0.028496
10000000, 128, 100, 0.028884
10000000, 128, 128, 0.027252
10000000, 128, 200, 0.029112
10000000, 128, 256, 0.026664
10000000, 128, 400, 0.026570
10000000, 128, 512, 0.026988
10000000, 128, 750, 0.027076
10000000, 128, 1024, 0.026502
10000000, 256, 32, 0.026798
10000000, 256, 64, 0.026489
10000000, 256, 100, 0.026683
10000000, 256, 128, 0.026514
10000000, 256, 200, 0.026618
10000000, 256, 256, 0.026391
10000000, 256, 400, 0.026901
10000000, 256, 512, 0.026497
10000000, 256, 750, 0.026483
10000000, 256, 1024, 0.026542
10000000, 512, 32, 0.026601
10000000, 512, 64, 0.027007
10000000, 512, 100, 0.026657
10000000, 512, 128, 0.026406
10000000, 512, 200, 0.027214
10000000, 512, 256, 0.026631
10000000, 512, 400, 0.026500
10000000, 512, 512, 0.026519
10000000, 512, 750, 0.026450
10000000, 512, 1024, 0.026453
10000000, 1024, 32, 0.026518
10000000, 1024, 64, 0.026636
10000000, 1024, 100, 0.027417
10000000, 1024, 128, 0.026398
10000000, 1024, 200, 0.026558
10000000, 1024, 256, 0.026674
10000000, 1024, 400, 0.026523
10000000, 1024, 512, 0.026551
10000000, 1024, 750, 0.027024
10000000, 1024, 1024, 0.026530
10000000, 2048, 32, 0.027005
10000000, 2048, 64, 0.026487
10000000, 2048, 100, 0.026446
10000000, 2048, 128, 0.026513
