elements,threadsPerBlock,blocks,GPU
100000,400,2,3.209769
100000,400,2,3.213079
100000,400,2,3.241068
100000,400,2,3.206048
100000,400,2,3.204985
100000,400,2,3.204120
100000,400,2,3.206462
100000,400,2,3.206435
100000,400,4,3.207696
100000,400,4,3.209101
100000,400,4,3.207151
100000,400,4,3.208945
100000,400,4,3.209894
100000,400,4,3.206427
100000,400,4,3.224434
100000,400,4,3.673572
100000,400,4,3.261764
100000,400,4,3.212751
100000,400,4,3.211387
100000,400,4,3.213696
100000,400,4,3.209637
100000,400,4,3.214438
100000,400,4,3.215061
100000,400,4,3.215121
100000,400,4,3.210800
100000,400,4,3.208059
100000,400,4,3.213156
100000,400,4,3.213911
100000,400,8,3.214236
100000,400,8,3.212798
100000,400,8,3.209486
100000,400,8,3.209970
100000,400,8,3.207945
100000,400,8,3.227914
100000,400,8,3.481131
100000,400,8,3.214124
100000,400,8,3.210650
100000,400,8,3.226918
100000,400,8,3.209413
100000,400,8,3.209725
100000,400,8,3.211605
100000,400,8,3.213779
100000,400,8,3.213178
100000,400,8,3.218286
100000,400,8,3.214039
100000,400,8,3.212655
100000,400,8,3.212118
100000,400,8,3.215422
100000,400,16,3.205779
100000,400,16,3.217149
100000,400,16,3.210229
100000,400,16,3.229377
100000,400,16,3.409860
100000,400,16,3.228752
100000,400,16,3.212998
100000,400,16,3.218927
100000,400,16,3.214408
100000,400,16,3.389504
100000,400,16,3.219256
100000,400,16,3.207461
100000,400,16,3.213817
100000,400,16,3.215375
100000,400,16,3.212591
100000,400,16,3.607113
100000,400,16,3.214316
100000,400,16,3.210789
100000,400,16,3.211179
100000,400,16,3.215069
100000,400,32,3.213607
100000,400,32,3.213599
100000,400,32,3.304888
100000,400,32,3.212122
100000,400,32,3.434779
100000,400,32,3.245679
100000,400,32,3.237302
100000,400,32,3.238026
100000,400,32,3.234816
100000,400,32,3.233625
100000,400,32,3.237988
100000,400,32,3.238455
100000,400,32,3.233550
100000,400,32,3.235807
100000,400,32,3.241666
100000,400,32,3.235910
100000,400,32,3.230377
100000,400,32,3.237293
100000,400,32,4.002175
100000,400,32,3.269852
100000,400,64,3.444235
100000,400,64,3.447073
100000,400,64,3.361640
100000,400,64,3.368504
100000,400,64,3.368950
100000,400,64,3.380153
100000,400,64,3.391912
100000,400,64,3.464804
100000,400,64,3.390561
100000,400,64,3.466909
100000,400,64,3.397899
100000,400,64,3.393489
100000,400,64,3.377754
100000,400,64,3.380766
100000,400,64,3.385072
100000,400,64,3.390831
100000,400,64,3.401609
100000,400,64,3.398811
100000,400,64,3.471690
100000,400,64,3.414928
100000,400,128,5.170363
100000,400,128,5.161044
100000,400,128,5.164595
100000,400,128,5.173458
100000,400,128,5.166837
100000,400,128,5.193821
100000,400,128,5.193363
100000,400,128,5.186123
100000,400,128,5.194435
100000,400,128,5.183715
100000,400,128,5.218531
100000,400,128,5.194976
100000,400,128,5.199521
100000,400,128,5.200601
100000,400,128,5.207727
100000,400,128,5.274514
100000,400,128,5.189472
100000,400,128,5.200640
100000,400,128,5.300055
100000,400,128,5.279792
100000,400,256,10.088457
100000,400,256,9.949369
100000,400,256,10.465151
100000,400,256,9.786553
100000,400,256,9.796007
100000,400,256,9.783312
100000,400,256,9.848023
100000,400,256,16.552782
100000,400,256,18.851691
100000,400,256,9.745908
100000,400,256,9.772099
100000,400,256,9.817037
100000,400,256,9.797729
100000,400,256,9.790420
100000,400,256,9.807515
100000,400,256,9.833220
100000,400,256,9.830448
100000,400,256,9.870184
100000,400,256,9.838579
100000,400,256,10.122731
100000,400,450,9.878236
100000,400,450,9.850110
100000,400,450,9.875499
100000,400,450,9.881887
100000,400,450,9.843698
100000,400,450,9.850546
100000,400,450,9.867101
100000,400,450,9.853131
100000,400,450,9.866634
100000,400,450,10.148038
100000,400,450,9.853882
100000,400,450,9.854073
100000,400,450,9.858228
100000,400,450,9.890678
100000,400,450,9.872444
