elements,threadsPerBlock,blocks,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
40960,1024,1500,2.058848,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,1,2.415431,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,2,2.454508,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,4,2.453707,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,8,2.453994,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,16,2.452991,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,32,2.463527,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,64,2.504383,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,128,2.469084,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,256,2.573834,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,450,2.768932,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,512,2.918358,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,800,3.942349,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,1024,5.055173,11268608,1635000,68,3,352,7000000,5767168,1024
81920,64,1500,6.755669,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,1,2.43547,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,2,2.483561,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,4,2.484111,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,8,2.482281,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,16,2.484549,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,32,2.482736,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,64,2.488646,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,128,2.592165,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,256,2.914177,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,450,4.479799,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,512,5.006696,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,800,6.77605,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,1024,6.792669,11268608,1635000,68,3,352,7000000,5767168,1024
81920,128,1500,6.796528,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,1,2.530465,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,2,2.612745,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,4,2.582589,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,8,2.579216,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,16,2.579877,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,32,2.579413,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,64,2.58052,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,128,2.947567,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,256,4.853176,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,450,6.710333,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,512,6.717696,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,800,6.724444,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,1024,6.715559,11268608,1635000,68,3,352,7000000,5767168,1024
81920,256,1500,6.728708,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,1,2.627762,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,2,2.677862,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,4,2.679011,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,8,2.679925,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,16,2.678084,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,32,2.676852,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,64,2.751753,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,128,4.162032,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,256,7.316172,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,450,7.328365,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,512,7.326815,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,800,7.335797,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,1024,7.339276,11268608,1635000,68,3,352,7000000,5767168,1024
81920,400,1500,7.341026,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,1,2.81598,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,2,2.868019,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,4,2.864488,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,8,2.866403,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,16,2.863545,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,32,2.862948,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,64,3.04071,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,128,5.319466,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,256,8.338939,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,450,8.504698,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,512,8.491296,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,800,8.995981,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,1024,9.120544,11268608,1635000,68,3,352,7000000,5767168,1024
81920,512,1500,9.284805,11268608,1635000,68,3,352,7000000,5767168,1024
